ID_original,particion,grupo_sha256
1886,entrenamiento,e96c012c1e7dd7d870ff6c18e35f03ea6a5de44b3828b2853c4fd16301a41b4c
3559,entrenamiento,99d955f5373388729f7a3032174a5aea71745d01e1f91eb1d3bfb07df0760760
6907,prueba,1170da416c0d2f4415c7ee5a95e4584693ca7b0b097106e1fd121eb1bba83ba8
15714,entrenamiento,b4c9ea9578efaf06362049618262d9c6c27794343c694c289e6232108474ae97
16047,entrenamiento,409eacc9056fa55d1e28666dcfc4d79e6f603723ed73431235a7a1f99783628d
24210,entrenamiento,6d251ce9cd06b63c6e323e232b781680e9bed369462d10c5b91faab14a6931f6
8668,prueba,25f952bf4c0d2871b892c2d38d2f11d342d6f8fb4fc1db8c1f5a70186fee72fd
26621,entrenamiento,b1c1f8c7362cc28809c1859af2d76d120b5bf161de67ba51b5f641207944375f
25528,entrenamiento,b9f44169d4e1ef9000d98e71e83b6c8e0a0d71618f284ac949b4d72d6f1719a4
1946,entrenamiento,a698d28bb8f09907dea63b49ed56450d21e8d5d42252f4df8fe086a70b62022c
12574,entrenamiento,8c82991817583408884f63f979f0ab99c16717218c861fcb88716aa722693141
12609,entrenamiento,3999baa0f9fdfadc9d4eefd3bbd09b6a0b7c8d1a065da3f31662da74ea17ed8f
20950,entrenamiento,54105999ab618021538f49fb4d48619f133249e98dfd52a207c78ea2dca061df
27105,entrenamiento,54105999ab618021538f49fb4d48619f133249e98dfd52a207c78ea2dca061df
3816,entrenamiento,38aff02b43c0770a930ee3a6ecbfc00ff9a03a0b3e3f54648370318992f798ba
10168,prueba,20ec0fd72118b85665462a8048c20b0ff5e85ef3dfdd45c33b3635d7362ec527
13498,prueba,15ef7fa9d472d5eefff3554dad7c0beeef591e77144aaf9e8b42420b6392d3da
4511,entrenamiento,3b7480db992ad6c6235901713b7f43589286937017d88f43168ef89ff6f7cca0
17842,entrenamiento,e1e801fa0f3691adb091e46ba98332d588d06a029395cc547bb0f6237eef096f
7244,prueba,278d43888f9eddc0e8a9a248c513d3363240819858faa683b63546975f21d79e
9704,entrenamiento,bcb0827cdf3abc4ff37a1a9bf542b6ac50388b9fc2cb3a6680f7e00593e22ca9
5815,entrenamiento,fb0e6a715345372010c45da8b4349223ef83e1b7722a52554e94bf3d987eb108
7689,entrenamiento,343437012332ef90cdc58bc87ae574c95bbed0d01ef3c2e1c199084fc15a008c
23260,entrenamiento,bc680665495667bfbf9b3ede010c8adb0a31202cd8e00ce7f930c4c5bc2f7f80
10447,entrenamiento,5e42a1c3d5376d7b4a16728f768a5b78c5105b0cbea11ac9be4ed33068c1cf6d
2039,entrenamiento,d9356deb914e8dfcebadd33900993dca6dcf3ae664fddf1cf85172f21827466d
20661,entrenamiento,d7b54f52da6e7fd9deff240dd0a7c8dfe492bdfd0e3b79739a6d24f6b9c95d42
22411,entrenamiento,5a77c12079494d740e856c05f0dd9498fd530a91a2978298911e201ebbacd54a
8227,prueba,2209921b850f9c446930ced3071048bf79ea5f3c67f6d7d170963cec0ed85051
5844,entrenamiento,9a510b4e2b28453ce5bed1e24333ebfdd1b9b4b311faa95bfe57a1a019b6ec8d
22518,prueba,2e84865ececb7d5c442cfa0832998aaa3bffc04c178e80f9e7552f787def35db
10445,entrenamiento,ec8f7e7a33c38375794fb7e857cb5c869c54d9ff349d52fc795b78f70f74711f
5784,entrenamiento,8c5b62de9df4ea92315f473247f6d87f0dc8b6e911626e53faeac97149345f7f
21545,entrenamiento,5b78d10c3b5c23617ab1f86b9202a48a703a315c1530d5c74ad2ca39bbb3ea6f
8406,entrenamiento,cae6f50533457ed51f24c1d5f293d95046791b4613f8ea0f8e8bff6b6420fb5b
28053,prueba,298e3f9145e47c4ceaaebe844bcd59b77f707aa6de9685cfb260912fb4a202a7
9744,entrenamiento,96cc734e58ef1280e7237d86a8881229618b1a816c6e92d5d320ed581d2b6dd3
12209,entrenamiento,8c5a60b0aa4f6d60aec901ccbbbe94ae93c23163ef0e3242d37855e1f51548e2
9435,prueba,20b72d2d03383fab1cba1742595942ef0269a29073d2b42d2a5bf774f1c1f723
