linea_entrenamiento_original,particion,grupo_sha256
2,validacion,36cf49d307e85fc441484146ff560f45506849f599d379554f2e1fea2b778181
3,entrenamiento_reducido,62a5fd528d62388ad323f9c2c88e2a3b5f5bcc424f16d19e7dc1ddf3ecaeea4a
4,entrenamiento_reducido,c427253a69cb163b091c0ed9f476c6726fcddcfc33f3d1701750a0876eaf8b4b
5,entrenamiento_reducido,f07d1c37818ce0b703d9bb7b213e9dda4e7e1e75364e10c71d90958783add2dc
6,entrenamiento_reducido,9d86f4d41eb760c0ff22615a22b4e4d832177584abf229380d2e0097dd5525e7
7,entrenamiento_reducido,bb7129821863ef49348f2849e24d8405f641f4d0a4e4a67bfd43b24758815a1f
8,validacion,25dfac477dcce6d9de75166ec96e3ae9fbeafeb8d26c2673a107bd5e8b9dd8f5
9,entrenamiento_reducido,5ce2893c75945fa197bef52f4dc05c571a70bde91aa4a242b14c85b60dcdcb9f
10,entrenamiento_reducido,dbb3d08b0b64510d03221c7d41a7722a8e11b6002b4720b2ce6313cd33eee436
11,entrenamiento_reducido,882978e161b89163dea20b3272a714cfd355c08c27be79bf7d20eb6bea666560
12,entrenamiento_reducido,fab95fccf245c0f9d859cc2f54d14a9f2b090dd4965086745aa9f58aa422581b
13,entrenamiento_reducido,fab95fccf245c0f9d859cc2f54d14a9f2b090dd4965086745aa9f58aa422581b
14,entrenamiento_reducido,83af13df23a64c75db21c75942ac3cf3f04343f5f5e19b93309db2b13af0011d
15,entrenamiento_reducido,785783ffae03405472fda49d1f67139fbe8f9142a26e4303eff4b9c1b230676e
16,entrenamiento_reducido,774bfeb1e14a4f56620c482fdf77eb977aba641a806035cd33b2b80365ae224e
17,entrenamiento_reducido,46d5448727a84a964ae270db94b069b286d4de577a77888c372f6f20a70e6bbd
18,validacion,07385b6cbd0ba921bb1e0b366f928017985747ec05e255368ce1520fa3e26bb4
19,entrenamiento_reducido,b1f219185f4a052ff88027de18c76b8e95af4fc5d1a6a5f862e607138ad64f06
20,entrenamiento_reducido,937dd9942c59c5bd1ff45641ad28c5616aeaf67d76e3e8797c61dccea38fa9b8
21,entrenamiento_reducido,e906bff665290af0ce5d9a0527e9fd5ea2e6538fa64c053586220a8355cd0238
22,entrenamiento_reducido,f77477a2ce1d57b7d66a997a41f8cfc1bb6b124e5b19a9c880fc45cab6fc4636
23,validacion,15e10ad8b5a4472e4ad0102f5e7162ba78dc1d088e6fc1b656fcdc2b6531ea65
24,entrenamiento_reducido,8101ddaaf7f3eacba39e581165b46de80fdebd7ea120cc9103576aaf743b1973
25,validacion,29d8e73d38f6eba2b83a0277dffb04480c5d958c82c1e22701c51293d89d3c8f
26,entrenamiento_reducido,ce9d06446d8331f82b49235fce264d5850930f61ea82550e2530737bc294c8a4
27,entrenamiento_reducido,4ded1d1d3cd82596cf4595befc24b5e770a312163d59dd25682cc13cd8258f26
28,validacion,122d723077cfa06e2dcb9b9720301753c310edb01efe7237af113ea7af643715
29,entrenamiento_reducido,db9b4b4d48b6ae41e92025145c06d13e9cfa4ca339ed3cda9d38e3408257eed9
30,entrenamiento_reducido,84c9ff45a5dd5d3a2168c0e5b8b4c306d85ac5753cd6518d0a48c9595d48dbbe
31,entrenamiento_reducido,c23d8aa5a21d72d5dc13702c3154d76191fe7b663633417706b371f9c8d31305
32,validacion,130da69fe4ff45a598b3158fe9f335928a3b6c21af4315c0d89264ef5badb0d3
33,entrenamiento_reducido,844181a06695291f36a733319081236d81de334e2e524fb47f4888956e2ce6a1
34,entrenamiento_reducido,67c407bc09dd7cd28a545e9c200bdb03ea4156afa1e49e9dfb035fe92e662ab9
